Names,Cost,Card Type,Magic Type,Text
Gen-Z Automaton,2,Galdr-Conj,Void,1 attack 1 HP. Gen-Z Automaton attacks at the begining of each turn. If no spells were cast last turn Gen-Z Automaton gets +3 attack until end of turn.
Oblivion,6,Hol-Can,Void,"Void all active spells, expunge all static cards."
Abrasion Cloud,5,Galdr,Void,"Choose conjurations, hexes, or jinxes. Expunge all static cards of the chosen kind."
Enveloping Mists,4,Galdr-Hex,Void,"At the end of each turn add two mist counters to Enveloping Mists. Whenever an opponents spell resolves remove a mist counter. If at the begining of your turn there are 10 or more mist counters on Enveloping Mists, expunge it and target opponent loses 20 life. "
Fifth-Fleet Guns,5,Galdr-Mech,Void,10 HP counters. Pay 4 mana to deal 2 damage to any target.
Negative Shock,1,Re-Can,Void,"Void target spell that would deal damage. You may pay x mana where x is the cost of the spell, if you do, deal damage to the spells caster equal to the amount of damage that their spell would have dealt."
Twisted Self Relfection,6,Galdr,Delirium,Change target opponents life total to be equal to your life total.
Gen A Enumerator,3,Galdr-Mech,Void,6 HP counters. Pay 3 mana to draw a card.
Prime-9 Adaptor,7,Galdr-Mech,Void,7 HP counters. Pay 2 mana to activate any ability of another mechanic you own.
Upkeep,1,Hol-Can,Void,"Repair 2 to each Mechanic you own. You may search your reserves for another copy of Upkeep. If you do, reveal it, put it into your hand and shuffle your reserves."
Pentimana Syphon,2,Galdr-Mech,Void,"4 HP counters. At the beginning of each opponents turn they lose 1 mana and add one mana counter to Syphon. On the beginning of your turn, if Syphon has 5 or more mana counters on it, expunge it and add 5 mana."
Self Generating Combustors,4,Galdr-Mech,Void,"2 HP counters. At the end of each turn, if the active player did not resolve any spells, create a copy of Combustors. At the end of each round you may expunge all combustors you own, dealing 2 damage for each one. If three or more spells are resolved by a Mystic in one turn, expunge all combustors, dealing 2 damage to yourself for each one."
Repurposing Station,3,Galdr-Mech,Void,5 HP counters. You may pay 3 mana to return a Mechanic spell from your hollows to hand.
Alamind's Retrofitter,5,Galdr-Mech,Void,6 HP counters. You may play a Mechanic from your hand by expunging a Mechanic you own and paying the net difference in mana cost between the two. 
Spark Emitter,1,Galdr-Mech,Void,"2 HP. Whenever a mechanic enters play that you own, deal 1 damage to target opponent."
Tireless Constructor,2,Galdr-Mech,Void,3 HP. Mechanic spells you play cost 1 less to cast.
Capsize,2,Galdr,Deep,Each Mystic discards their hand and draws 4 cards.
